anio,geocodigoFundar,pais,variable,valor,valor_pct,tasa_variacion
1971,ARG,Argentina,share_industrial_gdp,0.301157,30.1157,0.09410000000000096
1972,ARG,Argentina,share_industrial_gdp,0.304161,30.4161,0.3003999999999998
1973,ARG,Argentina,share_industrial_gdp,0.284372,28.4372,-1.9788999999999994
1974,ARG,Argentina,share_industrial_gdp,0.285216,28.521600000000003,0.08440000000000225
1975,ARG,Argentina,share_industrial_gdp,0.319313,31.9313,3.4096999999999973
1976,ARG,Argentina,share_industrial_gdp,0.332036,33.2036,1.2723000000000013
1977,ARG,Argentina,share_industrial_gdp,0.311585,31.1585,-2.0451000000000015
1978,ARG,Argentina,share_industrial_gdp,0.29148,29.148000000000003,-2.010499999999997
1979,ARG,Argentina,share_industrial_gdp,0.283809,28.380899999999997,-0.7671000000000063
1980,ARG,Argentina,share_industrial_gdp,0.293873,29.3873,1.0064000000000028
1981,ARG,Argentina,share_industrial_gdp,0.285222,28.522199999999998,-0.8651000000000018
1982,ARG,Argentina,share_industrial_gdp,0.312509,31.250899999999998,2.7287
1983,ARG,Argentina,share_industrial_gdp,0.304663,30.4663,-0.7845999999999975
1984,ARG,Argentina,share_industrial_gdp,0.298053,29.805300000000003,-0.6609999999999978
1985,ARG,Argentina,share_industrial_gdp,0.294481,29.4481,-0.3572000000000024
1986,ARG,Argentina,share_industrial_gdp,0.274199,27.419900000000002,-2.0281999999999982
1987,ARG,Argentina,share_industrial_gdp,0.275574,27.557399999999998,0.13749999999999574
1988,ARG,Argentina,share_industrial_gdp,0.280608,28.060800000000004,0.5034000000000063
1989,ARG,Argentina,share_industrial_gdp,0.307064,30.706400000000002,2.645599999999998
1990,ARG,Argentina,share_industrial_gdp,0.264872,26.4872,-4.219200000000001
1991,ARG,Argentina,share_industrial_gdp,0.242321,24.232100000000003,-2.2550999999999988
1992,ARG,Argentina,share_industrial_gdp,0.218319,21.8319,-2.4002000000000017
1993,ARG,Argentina,share_industrial_gdp,0.195012,19.5012,-2.3307
1994,ARG,Argentina,share_industrial_gdp,0.190725,19.0725,-0.4286999999999992
1995,ARG,Argentina,share_industrial_gdp,0.183639,18.3639,-0.7086000000000006
1996,ARG,Argentina,share_industrial_gdp,0.187439,18.7439,0.379999999999999
1997,ARG,Argentina,share_industrial_gdp,0.195473,19.5473,0.8033999999999999
1998,ARG,Argentina,share_industrial_gdp,0.190771,19.077099999999998,-0.47020000000000195
1999,ARG,Argentina,share_industrial_gdp,0.180175,18.017500000000002,-1.059599999999996
2000,ARG,Argentina,share_industrial_gdp,0.17521,17.521,-0.49650000000000105
2001,ARG,Argentina,share_industrial_gdp,0.169593,16.9593,-0.5617000000000019
2002,ARG,Argentina,share_industrial_gdp,0.212975,21.2975,4.3382000000000005
2003,ARG,Argentina,share_industrial_gdp,0.239208,23.9208,2.6233000000000004
2004,ARG,Argentina,share_industrial_gdp,0.222745,22.2745,-1.6463
2005,ARG,Argentina,share_industrial_gdp,0.21564,21.564,-0.7104999999999997
2006,ARG,Argentina,share_industrial_gdp,0.210605,21.060499999999998,-0.5035000000000025
2007,ARG,Argentina,share_industrial_gdp,0.202041,20.2041,-0.8563999999999972
2008,ARG,Argentina,share_industrial_gdp,0.197246,19.7246,-0.4795000000000016
2009,ARG,Argentina,share_industrial_gdp,0.185822,18.5822,-1.1423999999999985
2010,ARG,Argentina,share_industrial_gdp,0.188885,18.8885,0.30630000000000024
2011,ARG,Argentina,share_industrial_gdp,0.188646,18.8646,-0.023900000000001143
2012,ARG,Argentina,share_industrial_gdp,0.181436,18.1436,-0.7210000000000001
2013,ARG,Argentina,share_industrial_gdp,0.17875,17.875,-0.2685999999999993
2014,ARG,Argentina,share_industrial_gdp,0.176012,17.6012,-0.2738000000000014
2015,ARG,Argentina,share_industrial_gdp,0.168578,16.8578,-0.7433999999999976
2016,ARG,Argentina,share_industrial_gdp,0.15973300000000001,15.973300000000002,-0.8844999999999992
